DATESH	TIME	BLOCKNUMBER	TRANSACTIONINDEX	FROM	TO	ETHER	GASCOST	PRICE	ISERROR	ARTICULATED
2018-01-27	0:22:44 UTC	4978827	0	0x390de26d772d2e2005c6d1d24afc902bae37a4bb	0x82744ba0766bdee409885c2186c44a4a73b0c97f	1.500000000000000000	0.002688000000000000	1053.280000000000000000	0	0x
2018-01-27	1:06:47 UTC	4979016	120	0x6f8f1713a9aedfab1f16635ac552b00f34ca80e7	0x82744ba0766bdee409885c2186c44a4a73b0c97f	0.010000000000000000	0.000021000000000000	1046.400000000000000000	0	0x
2018-01-27	1:37:00 UTC	4979140	29	0xdd0873aa713da47998909a3f66b9c71537c1ec12	0x82744ba0766bdee409885c2186c44a4a73b0c97f	2.500000000000000000	0.000420000000000000	1041.100000000000000000	0	0x
2018-01-27	2:04:22 UTC	4979253	91	0x972b0f9136cc8e12c6d4484c064f17cbffc394cc	0x82744ba0766bdee409885c2186c44a4a73b0c97f	1.890000000000000000	0.000021000000000000	1037.970000000000000000	0	0x
2018-01-27	2:24:42 UTC	4979335	10	0x2289c8fed5be4b1c4fcfd7a74ad2afcdd277312f	0x82744ba0766bdee409885c2186c44a4a73b0c97f	0.800000000000000000	0.001260000000000000	1047.490000000000000000	0	0x
2018-01-27	2:30:44 UTC	4979358	176	0x2289c8fed5be4b1c4fcfd7a74ad2afcdd277312f	0x82744ba0766bdee409885c2186c44a4a73b0c97f	0.098800000000000000	0.000063000000000000	1045.090000000000000000	0	0x
2018-01-27	2:32:14 UTC	4979368	18	0x4e1cf04fda76a137b7ed3ab7a1abff369e3fed1c	0x82744ba0766bdee409885c2186c44a4a73b0c97f	25.000000000000000000	0.001050000000000000	1045.090000000000000000	0	0x
2018-01-27	2:49:44 UTC	4979444	12	0x1ef5b7c7d91ada52a5f4e32085f4adfad5ec3f6a	0x82744ba0766bdee409885c2186c44a4a73b0c97f	1.000000000000000000	0.001890000000000000	1055.300000000000000000	0	0x
2018-01-27	3:14:25 UTC	4979544	34	0x4a9b62e0342bb3d47a0ed042c8245a0bfffe21be	0x82744ba0766bdee409885c2186c44a4a73b0c97f	0.500000000000000000	0.000861000000000000	1052.990000000000000000	0	0x
2018-01-27	3:22:53 UTC	4979590	26	0x0902b5bc418cd9b556f23a95a43aa688081a3fde	0x82744ba0766bdee409885c2186c44a4a73b0c97f	0.008299000000000000	0.000861000000000000	1052.780000000000000000	0	0x
2018-01-27	3:28:32 UTC	4979615	5	0x982372482faa2e198a88b08a5400912774b17f8b	0x82744ba0766bdee409885c2186c44a4a73b0c97f	1.000000000000000000	0.002100000000000000	1049.030000000000000000	0	0x
