blockNum|date|nBlocks|nTrans|nTraces|nTransfers|nApproves|nTransferFroms|nTTransfers|nTApproves|nTTransferFroms
46147|2015-08-07 03:30:33 UTC|1|1|0|0|0|0|0|0|0          
55870|2015-08-09 00:00:09 UTC|2886|4932|18337|0|0|0|0|0|0          
93129|2015-08-16 00:00:00 UTC|11562|23597|22379|0|0|0|0|0|0          
128134|2015-08-23 00:00:41 UTC|19919|44090|23896|1|0|0|0|0|0          
162126|2015-08-30 00:03:20 UTC|28856|75844|26332|1|0|0|0|0|0          
190657|2015-09-06 00:00:20 UTC|38536|111898|27218|1|0|0|0|0|0          
225597|2015-09-13 00:00:07 UTC|50460|151742|27856|1|0|0|0|0|0          
259996|2015-09-20 00:01:13 UTC|63495|191959|29127|27|0|0|0|0|0          
295665|2015-09-27 00:00:16 UTC|78135|236858|29650|28|0|0|0|0|0          
330003|2015-10-04 00:00:41 UTC|91722|278961|30590|28|0|0|0|0|0          
364661|2015-10-11 00:00:21 UTC|106961|325647|32565|29|0|0|0|0|0          
399789|2015-10-18 00:00:37 UTC|123388|371768|34135|29|0|0|0|0|0          
434958|2015-10-25 00:00:09 UTC|139811|416160|39309|29|0|0|0|0|0          
470668|2015-11-01 00:00:08 UTC|157493|465393|43214|33|0|0|7|0|0          
506227|2015-11-08 00:00:29 UTC|175220|519679|65152|89|0|0|12|0|0          
541678|2015-11-15 00:00:42 UTC|195082|582790|123818|268|0|0|14|0|0          
576883|2015-11-22 00:00:05 UTC|212076|633959|131727|280|0|0|26|0|0          
612084|2015-11-29 00:00:27 UTC|229390|684287|132513|299|0|0|30|0|0          
647335|2015-12-06 00:00:03 UTC|246451|734074|133164|324|0|0|39|0|0          
682620|2015-12-13 00:00:02 UTC|264763|787770|134986|355|0|0|42|0|0          
718069|2015-12-20 00:00:12 UTC|287361|870107|172610|364|0|0|42|0|0          
753335|2015-12-27 00:00:23 UTC|309641|969559|253023|371|0|0|48|0|0          
788463|2016-01-03 00:00:06 UTC|331186|1064614|404001|376|0|0|48|0|0          
824165|2016-01-10 00:00:05 UTC|353970|1161637|524614|388|0|0|49|0|0          
859517|2016-01-17 00:00:12 UTC|375051|1242571|592200|402|0|0|50|0|0          
894533|2016-01-24 00:01:18 UTC|395847|1324872|640695|421|0|0|54|0|0          
929774|2016-01-31 00:00:06 UTC|420290|1437869|782512|439|0|0|59|0|0          
964910|2016-02-07 00:00:15 UTC|443907|1555838|909491|654|0|0|61|0|0          
1000229|2016-02-14 00:00:39 UTC|469338|1676357|960781|718|0|0|68|0|0          
1035159|2016-02-21 00:00:00 UTC|495154|1799771|1018081|827|1|0|75|0|0          
1070490|2016-02-28 00:00:16 UTC|522751|1932657|1063632|996|1|0|103|0|0          
1105623|2016-03-06 00:00:11 UTC|550940|2093652|1096170|1282|1|0|159|0|0          
1140846|2016-03-13 00:00:52 UTC|578708|2269090|1132530|1518|4|15|183|0|0          
1181270|2016-03-20 00:00:00 UTC|610003|2482726|1201930|1639|10|15|185|0|0          
1223598|2016-03-27 00:00:35 UTC|642565|2722721|1408041|1757|12|16|197|0|1          
1265738|2016-04-03 00:01:18 UTC|674743|2951924|1560492|1840|15|17|201|1|4          
1307884|2016-04-10 00:00:19 UTC|705917|3185503|1756529|2103|15|17|205|2|42          
1350015|2016-04-17 00:00:21 UTC|737261|3419014|1876057|2203|15|17|213|2|75          
1392176|2016-04-24 00:00:02 UTC|769068|3658994|1945292|2291|15|17|216|2|80          
1434393|2016-05-01 00:00:18 UTC|802235|3912362|2051115|3047|385|26|261|2|152          
1476496|2016-05-08 00:00:06 UTC|836843|4184827|2208823|4079|765|31|485|2|369          
1518638|2016-05-15 00:00:05 UTC|872343|4483424|2348603|5024|2211|31|579|2|437          
1560777|2016-05-22 00:00:21 UTC|907902|4783601|2463256|7413|2838|31|608|2|467          
1602996|2016-05-29 00:01:00 UTC|944158|5126001|2524212|13830|10757|5467|1754|2|506          
1645096|2016-06-05 00:00:47 UTC|978974|5418772|2553131|21717|12467|7632|4688|3|535          
1687356|2016-06-12 00:00:03 UTC|1013640|5699271|2616072|27837|13170|9153|6748|3|590          
1729302|2016-06-19 00:00:39 UTC|1047107|6054464|2803647|38481|14187|11984|12704|3|625          
1771652|2016-06-26 00:00:24 UTC|1075004|6372502|2907389|46070|15712|13947|15109|3|644          
1813929|2016-07-03 00:00:37 UTC|1110370|6690035|2929442|49339|16348|15364|16139|3|674          
1856236|2016-07-10 00:00:10 UTC|1144972|6970247|2975442|52156|16520|16216|17138|4|728          
1898473|2016-07-17 00:00:13 UTC|1178116|7246755|3020537|54558|17200|17574|19424|17|1272          
1940731|2016-07-24 00:00:04 UTC|1210370|7552984|3078010|58048|22184|19849|20374|76|5672          
1982723|2016-07-31 00:00:00 UTC|1244419|7918838|3327163|62053|25549|20429|26321|114|8876          
2024826|2016-08-07 00:00:24 UTC|1276706|8243558|3443441|65378|26683|20691|26921|119|10143          
2067260|2016-08-14 00:00:04 UTC|1307584|8556479|3663182|73128|27443|20874|28637|131|11154          
2109616|2016-08-21 00:00:15 UTC|1336801|8865247|3778956|83174|28903|20963|28939|136|12690          
2152022|2016-08-28 00:00:08 UTC|1365536|9192361|3895294|105451|29698|21136|29380|204|13518          
2194196|2016-09-04 00:00:00 UTC|1395219|9520995|4015042|118899|30250|21319|29807|233|14326          
